,0
2017-01-01,47.32
2017-01-02,39.71
2017-01-03,43.17
2017-01-04,50.85
2017-01-05,31.74
2017-01-06,32.35
2017-01-07,22.94
2017-01-08,24.02
2017-01-09,22.74
2017-01-10,35.33
2017-01-11,51.31
2017-01-12,63.89
2017-01-13,48.18
2017-01-14,31.94
2017-01-15,38.47
2017-01-16,42.94
2017-01-17,38.97
2017-01-18,40.75
2017-01-19,47.11
2017-01-20,43.39
2017-01-21,49.05
2017-01-22,48.0
2017-01-23,41.09
2017-01-24,38.48
2017-01-25,47.77
2017-01-26,52.47
2017-01-27,42.17
2017-01-28,37.73
2017-01-29,42.36
2017-01-30,36.27
2017-01-31,30.26
2017-02-01,46.29
2017-02-02,43.16
2017-02-03,32.83
2017-02-04,34.03
2017-02-05,40.24
2017-02-06,48.13
2017-02-07,38.08
2017-02-08,60.65
2017-02-09,29.29
2017-02-10,31.59
2017-02-11,46.11
2017-02-12,34.06
2017-02-13,36.64
2017-02-14,39.81
2017-02-15,47.24
2017-02-16,35.3
2017-02-17,41.28
2017-02-18,62.32
2017-02-19,64.64
2017-02-20,53.52
2017-02-21,45.63
2017-02-22,55.78
2017-02-23,64.05
2017-02-24,71.03
2017-02-25,64.48
2017-02-26,41.62
2017-02-27,52.46
2017-02-28,58.67
2017-03-01,66.41
2017-03-02,46.95
2017-03-03,37.68
2017-03-04,28.95
2017-03-05,35.7
2017-03-06,43.31
2017-03-07,50.61
2017-03-08,58.9
2017-03-09,60.64
2017-03-10,36.11
2017-03-11,27.78
2017-03-12,29.31
2017-03-13,35.0
2017-03-14,29.94
2017-03-15,25.5
2017-03-16,38.99
2017-03-17,45.87
2017-03-18,36.75
2017-03-19,47.02
2017-03-20,51.6
2017-03-21,58.64
2017-03-22,37.7
2017-03-23,42.13
2017-03-24,53.84
2017-03-25,57.58
2017-03-26,41.13
2017-03-27,52.74
2017-03-28,44.75
2017-03-29,57.97
2017-03-30,50.64
2017-03-31,39.94
2017-04-01,46.47
2017-04-02,61.96
2017-04-03,61.85
2017-04-04,50.03
2017-04-05,61.58
2017-04-06,48.32
2017-04-07,48.09
2017-04-08,56.05
2017-04-09,65.91
2017-04-10,77.12
2017-04-11,80.59
2017-04-12,74.42
2017-04-13,63.25
2017-04-14,63.77
2017-04-15,62.81
2017-04-16,84.74
2017-04-17,71.31
2017-04-18,62.84
2017-04-19,52.09
2017-04-20,64.73
2017-04-21,53.65
2017-04-22,54.82
2017-04-23,63.83
2017-04-24,59.13
2017-04-25,55.41
2017-04-26,60.62
2017-04-27,68.8
2017-04-28,83.71
2017-04-29,83.78
2017-04-30,61.45
2017-05-01,71.23
2017-05-02,72.91
2017-05-03,63.9
2017-05-04,61.17
2017-05-05,58.53
2017-05-06,63.92
2017-05-07,54.1
2017-05-08,56.6
2017-05-09,59.46
2017-05-10,61.3
2017-05-11,60.52
2017-05-12,60.37
2017-05-13,50.56
2017-05-14,66.16
2017-05-15,67.59
2017-05-16,78.97
2017-05-17,90.0
2017-05-18,92.77
2017-05-19,91.01
2017-05-20,62.97
2017-05-21,66.45
2017-05-22,59.75
2017-05-23,68.12
2017-05-24,68.52
2017-05-25,58.16
2017-05-26,73.41
2017-05-27,70.74
2017-05-28,70.23
2017-05-29,57.42
2017-05-30,59.12
2017-05-31,76.03
2017-06-01,78.56
2017-06-02,74.6
2017-06-03,73.29
2017-06-04,68.96
2017-06-05,67.42
2017-06-06,57.26
2017-06-07,67.16
2017-06-08,68.87
2017-06-09,81.25
2017-06-10,85.29
2017-06-11,91.11
2017-06-12,93.14
2017-06-13,94.76
2017-06-14,81.32
2017-06-15,74.79
2017-06-16,66.44
2017-06-17,71.91
2017-06-18,84.53
2017-06-19,86.19
2017-06-20,83.6
2017-06-21,83.84
2017-06-22,82.82
2017-06-23,82.59
2017-06-24,84.52
2017-06-25,82.57
2017-06-26,77.98
2017-06-27,76.56
2017-06-28,79.01
2017-06-29,82.19
2017-06-30,88.45
2017-07-01,81.91
2017-07-02,88.28
2017-07-03,87.41
2017-07-04,84.43
2017-07-05,83.08
2017-07-06,77.19
2017-07-07,80.51
2017-07-08,84.03
2017-07-09,81.83
2017-07-10,83.72
2017-07-11,84.53
2017-07-12,88.4
2017-07-13,90.77
2017-07-14,68.76
2017-07-15,83.63
2017-07-16,84.6
2017-07-17,83.76
2017-07-18,86.59
2017-07-19,91.44
2017-07-20,93.04
2017-07-21,90.43
2017-07-22,87.79
2017-07-23,78.47
2017-07-24,69.41
2017-07-25,69.92
2017-07-26,75.71
2017-07-27,76.4
2017-07-28,82.16
2017-07-29,75.77
2017-07-30,80.7
2017-07-31,87.18
2017-08-01,88.47
2017-08-02,84.93
2017-08-03,84.53
2017-08-04,84.43
2017-08-05,78.76
2017-08-06,74.93
2017-08-07,67.48
2017-08-08,78.14
2017-08-09,82.92
2017-08-10,83.77
2017-08-11,80.42
2017-08-12,77.05
2017-08-13,82.63
2017-08-14,80.2
2017-08-15,73.85
2017-08-16,84.65
2017-08-17,80.83
2017-08-18,82.08
2017-08-19,86.22
2017-08-20,82.17
2017-08-21,85.87
2017-08-22,89.04
2017-08-23,80.01
2017-08-24,78.8
2017-08-25,76.35
2017-08-26,75.99
2017-08-27,75.97
2017-08-28,73.91
2017-08-29,66.05
2017-08-30,77.69
2017-08-31,79.84
2017-09-01,69.91
2017-09-02,66.43
2017-09-03,69.68
2017-09-04,80.09
2017-09-05,85.17
2017-09-06,68.59
2017-09-07,71.85
2017-09-08,70.23
2017-09-09,67.86
2017-09-10,72.0
2017-09-11,76.33
2017-09-12,79.17
2017-09-13,80.48
2017-09-14,79.8
2017-09-15,80.62
2017-09-16,80.17
2017-09-17,79.15
2017-09-18,73.65
2017-09-19,75.92
2017-09-20,78.2
2017-09-21,79.58
2017-09-22,81.42
2017-09-23,86.42
2017-09-24,89.09
2017-09-25,87.51
2017-09-26,82.08
2017-09-27,85.16
2017-09-28,75.98
2017-09-29,66.92
2017-09-30,62.28
2017-10-01,67.07
2017-10-02,71.53
2017-10-03,69.07
2017-10-04,74.85
2017-10-05,81.51
2017-10-06,80.17
2017-10-07,79.32
2017-10-08,77.05
2017-10-09,74.48
2017-10-10,79.62
2017-10-11,73.45
2017-10-12,63.41
2017-10-13,64.8
2017-10-14,70.75
2017-10-15,72.07
2017-10-16,59.71
2017-10-17,59.48
2017-10-18,72.27
2017-10-19,70.92
2017-10-20,73.29
2017-10-21,77.94
2017-10-22,74.83
2017-10-23,72.44
2017-10-24,73.43
2017-10-25,64.63
2017-10-26,56.07
2017-10-27,62.34
2017-10-28,68.04
2017-10-29,64.72
2017-10-30,55.77
2017-10-31,56.64
2017-11-01,53.8
2017-11-02,71.88
2017-11-03,73.18
2017-11-04,55.71
2017-11-05,59.03
2017-11-06,65.45
2017-11-07,48.13
2017-11-08,48.34
2017-11-09,52.94
2017-11-10,38.59
2017-11-11,37.6
2017-11-12,45.9
2017-11-13,46.72
2017-11-14,46.02
2017-11-15,48.14
2017-11-16,56.31
2017-11-17,47.2
2017-11-18,49.71
2017-11-19,57.19
2017-11-20,46.16
2017-11-21,57.51
2017-11-22,51.38
2017-11-23,42.76
2017-11-24,50.41
2017-11-25,56.13
2017-11-26,46.61
2017-11-27,50.69
2017-11-28,50.83
2017-11-29,62.91
2017-11-30,48.78
2017-12-01,50.95
2017-12-02,47.36
2017-12-03,47.02
2017-12-04,49.44
2017-12-05,59.49
2017-12-06,46.37
2017-12-07,44.12
2017-12-08,37.57
2017-12-09,34.51
2017-12-10,38.45
2017-12-11,40.66
2017-12-12,48.31
2017-12-13,30.53
2017-12-14,31.41
2017-12-15,27.11
2017-12-16,37.07
2017-12-17,36.66
2017-12-18,44.58
2017-12-19,54.36
2017-12-20,43.43
2017-12-21,39.56
2017-12-22,44.68
2017-12-23,46.0
2017-12-24,39.38
2017-12-25,36.21
2017-12-26,27.54
2017-12-27,23.95
2017-12-28,17.87
2017-12-29,21.19
2017-12-30,22.4
2017-12-31,15.03
