,0
2016-01-01,40.34
2016-01-02,39.45
2016-01-03,44.69
2016-01-04,29.48
2016-01-05,28.45
2016-01-06,40.94
2016-01-07,44.58
2016-01-08,43.07
2016-01-09,45.82
2016-01-10,59.3
2016-01-11,33.48
2016-01-12,42.68
2016-01-13,28.29
2016-01-14,36.27
2016-01-15,47.75
2016-01-16,50.38
2016-01-17,34.72
2016-01-18,26.78
2016-01-19,28.19
2016-01-20,36.49
2016-01-21,35.81
2016-01-22,28.53
2016-01-23,27.12
2016-01-24,34.29
2016-01-25,37.07
2016-01-26,46.98
2016-01-27,44.48
2016-01-28,42.46
2016-01-29,40.23
2016-01-30,39.23
2016-01-31,54.76
2016-02-01,58.26
2016-02-02,49.32
2016-02-03,55.15
2016-02-04,53.19
2016-02-05,39.08
2016-02-06,39.66
2016-02-07,45.8
2016-02-08,37.35
2016-02-09,34.33
2016-02-10,38.18
2016-02-11,24.89
2016-02-12,25.89
2016-02-13,21.27
2016-02-14,15.26
2016-02-15,27.55
2016-02-16,53.15
2016-02-17,38.75
2016-02-18,35.16
2016-02-19,35.79
2016-02-20,61.13
2016-02-21,54.8
2016-02-22,51.42
2016-02-23,39.24
2016-02-24,57.15
2016-02-25,52.21
2016-02-26,36.19
2016-02-27,40.72
2016-02-28,60.5
2016-02-29,59.58
2016-03-01,49.59
2016-03-02,48.98
2016-03-03,35.43
2016-03-04,38.19
2016-03-05,39.49
2016-03-06,43.9
2016-03-07,60.11
2016-03-08,64.41
2016-03-09,76.94
2016-03-10,77.32
2016-03-11,63.36
2016-03-12,57.83
2016-03-13,60.9
2016-03-14,46.32
2016-03-15,55.61
2016-03-16,64.05
2016-03-17,60.98
2016-03-18,55.73
2016-03-19,45.59
2016-03-20,40.9
2016-03-21,48.81
2016-03-22,54.67
2016-03-23,69.78
2016-03-24,52.22
2016-03-25,70.31
2016-03-26,52.27
2016-03-27,52.03
2016-03-28,60.76
2016-03-29,52.46
2016-03-30,53.94
2016-03-31,71.11
2016-04-01,77.71
2016-04-02,54.32
2016-04-03,40.23
2016-04-04,42.34
2016-04-05,41.33
2016-04-06,46.55
2016-04-07,57.14
2016-04-08,46.64
2016-04-09,42.55
2016-04-10,49.34
2016-04-11,62.71
2016-04-12,57.49
2016-04-13,55.31
2016-04-14,59.97
2016-04-15,62.83
2016-04-16,66.08
2016-04-17,72.35
2016-04-18,79.0
2016-04-19,69.49
2016-04-20,66.6
2016-04-21,72.59
2016-04-22,78.89
2016-04-23,68.94
2016-04-24,66.6
2016-04-25,66.53
2016-04-26,60.35
2016-04-27,59.37
2016-04-28,56.61
2016-04-29,54.81
2016-04-30,61.72
2016-05-01,48.68
2016-05-02,59.25
2016-05-03,53.41
2016-05-04,50.88
2016-05-05,56.7
2016-05-06,52.44
2016-05-07,57.73
