,0
2018-01-01,18.18
2018-01-02,25.63
2018-01-03,28.14
2018-01-04,23.95
2018-01-05,15.14
2018-01-06,12.81
2018-01-07,18.08
2018-01-08,29.55
2018-01-09,42.9
2018-01-10,39.26
2018-01-11,49.57
2018-01-12,60.23
2018-01-13,41.72
2018-01-14,24.51
2018-01-15,29.36
2018-01-16,34.98
2018-01-17,33.96
2018-01-18,31.65
2018-01-19,37.28
2018-01-20,50.64
2018-01-21,49.87
2018-01-22,47.78
2018-01-23,58.01
2018-01-24,41.31
2018-01-25,34.0
2018-01-26,37.8
2018-01-27,52.97
2018-01-28,49.07
2018-01-29,43.11
2018-01-30,35.3
2018-01-31,31.84
2018-02-01,43.18
2018-02-02,29.0
2018-02-03,30.2
2018-02-04,39.48
2018-02-05,36.32
2018-02-06,36.17
2018-02-07,40.32
2018-02-08,31.36
2018-02-09,33.75
2018-02-10,45.4
2018-02-11,51.46
2018-02-12,43.64
2018-02-13,36.26
2018-02-14,51.35
2018-02-15,57.59
2018-02-16,57.27
2018-02-17,37.81
2018-02-18,43.97
2018-02-19,46.85
2018-02-20,66.46
2018-02-21,77.82
2018-02-22,45.02
2018-02-23,38.66
2018-02-24,52.75
2018-02-25,42.65
2018-02-26,51.25
2018-02-27,55.69
2018-02-28,60.06
2018-03-01,58.82
2018-03-02,37.46
2018-03-03,44.87
2018-03-04,42.39
2018-03-05,41.42
2018-03-06,45.62
2018-03-07,35.43
2018-03-08,39.0
2018-03-09,41.26
2018-03-10,39.0
2018-03-11,44.07
2018-03-12,42.2
2018-03-13,39.46
2018-03-14,39.75
2018-03-15,46.06
2018-03-16,38.56
2018-03-17,47.01
2018-03-18,42.67
2018-03-19,45.21
2018-03-20,37.2
2018-03-21,34.6
2018-03-22,49.71
2018-03-23,48.22
2018-03-24,49.04
2018-03-25,42.06
2018-03-26,47.29
2018-03-27,43.44
2018-03-28,50.85
2018-03-29,49.97
2018-03-30,57.54
2018-03-31,55.97
2018-04-01,57.37
2018-04-02,41.62
2018-04-03,40.58
2018-04-04,54.36
2018-04-05,44.13
2018-04-06,59.07
2018-04-07,46.52
2018-04-08,42.99
2018-04-09,47.59
2018-04-10,47.87
2018-04-11,49.85
2018-04-12,59.62
2018-04-13,81.33
2018-04-14,76.21
2018-04-15,41.15
2018-04-16,57.51
2018-04-17,45.51
2018-04-18,52.77
2018-04-19,44.74
2018-04-20,49.88
2018-04-21,61.04
2018-04-22,64.49
2018-04-23,64.26
2018-04-24,63.8
2018-04-25,57.44
2018-04-26,68.2
2018-04-27,53.68
2018-04-28,66.18
2018-04-29,56.33
2018-04-30,49.79
2018-05-01,79.45
2018-05-02,88.55
2018-05-03,91.25
2018-05-04,82.67
2018-05-05,74.14
2018-05-06,63.55
2018-05-07,73.5
2018-05-08,70.82
2018-05-09,74.5
2018-05-10,67.34
2018-05-11,72.47
2018-05-12,57.23
2018-05-13,53.82
2018-05-14,70.16
2018-05-15,88.27
2018-05-16,63.62
2018-05-17,71.0
2018-05-18,63.79
2018-05-19,55.59
2018-05-20,80.73
2018-05-21,75.14
2018-05-22,65.3
2018-05-23,80.47
2018-05-24,82.12
2018-05-25,85.99
2018-05-26,88.55
2018-05-27,65.08
2018-05-28,68.14
2018-05-29,86.75
2018-05-30,72.27
2018-05-31,67.65
2018-06-01,80.17
2018-06-02,84.39
2018-06-03,62.12
2018-06-04,70.32
2018-06-05,72.57
2018-06-06,68.04
2018-06-07,69.68
2018-06-08,80.55
2018-06-09,79.44
2018-06-10,69.34
2018-06-11,70.15
2018-06-12,73.67
2018-06-13,76.13
2018-06-14,83.18
2018-06-15,74.14
2018-06-16,82.6
2018-06-17,88.51
2018-06-18,90.12
2018-06-19,86.63
2018-06-20,81.06
2018-06-21,83.08
2018-06-22,72.05
2018-06-23,66.46
2018-06-24,82.95
2018-06-25,80.07
2018-06-26,75.28
2018-06-27,72.18
2018-06-28,82.27
2018-06-29,89.01
2018-06-30,91.97
