,0
2018-07-01,94.01
2018-07-02,92.96
2018-07-03,90.66
2018-07-04,86.3
2018-07-05,88.29
2018-07-06,80.96
2018-07-07,75.22
2018-07-08,81.36
2018-07-09,86.33
2018-07-10,91.83
2018-07-11,85.79
2018-07-12,82.24
2018-07-13,82.81
2018-07-14,88.27
2018-07-15,83.66
2018-07-16,89.17
2018-07-17,86.64
2018-07-18,83.17
2018-07-19,80.86
2018-07-20,80.62
2018-07-21,75.44
2018-07-22,79.58
2018-07-23,80.87
2018-07-24,82.71
2018-07-25,78.36
2018-07-26,85.67
2018-07-27,85.96
2018-07-28,84.31
2018-07-29,81.2
2018-07-30,77.81
2018-07-31,79.92
2018-08-01,86.32
2018-08-02,85.19
2018-08-03,83.68
2018-08-04,86.05
2018-08-05,89.66
2018-08-06,91.32
2018-08-07,88.52
2018-08-08,89.24
2018-08-09,87.84
2018-08-10,86.32
2018-08-11,75.22
2018-08-12,81.46
2018-08-13,74.38
2018-08-14,80.26
2018-08-15,87.46
2018-08-16,88.43
2018-08-17,86.96
2018-08-18,85.17
2018-08-19,72.39
2018-08-20,73.99
2018-08-21,76.03
2018-08-22,82.92
2018-08-23,77.99
2018-08-24,81.62
2018-08-25,78.43
2018-08-26,82.54
2018-08-27,87.25
2018-08-28,93.33
2018-08-29,93.04
2018-08-30,88.39
2018-08-31,73.67
2018-09-01,76.52
2018-09-02,80.05
2018-09-03,89.48
2018-09-04,90.49
2018-09-05,88.67
2018-09-06,91.55
2018-09-07,74.62
2018-09-08,69.17
2018-09-09,60.62
2018-09-10,62.47
2018-09-11,73.93
2018-09-12,76.85
2018-09-13,75.97
2018-09-14,74.18
2018-09-15,78.85
2018-09-16,83.11
2018-09-17,77.8
2018-09-18,78.48
2018-09-19,80.3
2018-09-20,70.94
2018-09-21,72.25
2018-09-22,72.38
2018-09-23,64.71
2018-09-24,67.7
2018-09-25,71.22
2018-09-26,81.75
2018-09-27,71.64
2018-09-28,62.75
2018-09-29,73.45
2018-09-30,69.44
2018-10-01,75.29
2018-10-02,76.77
2018-10-03,73.88
2018-10-04,74.92
2018-10-05,68.5
2018-10-06,65.57
2018-10-07,78.72
2018-10-08,65.77
2018-10-09,76.03
2018-10-10,79.89
2018-10-11,74.63
2018-10-12,60.7
2018-10-13,55.57
2018-10-14,57.05
2018-10-15,65.35
2018-10-16,54.64
2018-10-17,61.27
2018-10-18,50.65
2018-10-19,59.75
2018-10-20,61.94
2018-10-21,47.6
2018-10-22,50.6
2018-10-23,63.89
2018-10-24,54.07
2018-10-25,50.87
2018-10-26,48.75
2018-10-27,49.91
2018-10-28,52.23
2018-10-29,54.89
2018-10-30,55.54
2018-10-31,64.73
2018-11-01,69.32
2018-11-02,69.5
2018-11-03,58.52
2018-11-04,55.27
2018-11-05,52.8
2018-11-06,57.81
2018-11-07,62.18
2018-11-08,55.1
2018-11-09,50.44
2018-11-10,45.12
2018-11-11,45.69
2018-11-12,47.75
2018-11-13,48.16
2018-11-14,39.06
2018-11-15,33.3
2018-11-16,44.2
2018-11-17,46.45
2018-11-18,42.09
2018-11-19,49.78
2018-11-20,45.75
2018-11-21,43.56
2018-11-22,27.24
2018-11-23,31.36
2018-11-24,44.46
2018-11-25,54.33
2018-11-26,51.6
2018-11-27,43.72
2018-11-28,40.22
2018-11-29,44.62
2018-11-30,40.79
2018-12-01,44.46
2018-12-02,51.99
2018-12-03,53.32
2018-12-04,41.44
2018-12-05,35.84
2018-12-06,38.8
2018-12-07,37.24
2018-12-08,34.87
2018-12-09,34.72
2018-12-10,38.8
2018-12-11,39.75
2018-12-12,38.75
2018-12-13,37.94
2018-12-14,48.2
2018-12-15,50.67
2018-12-16,40.04
2018-12-17,45.45
2018-12-18,34.79
2018-12-19,41.53
2018-12-20,43.89
2018-12-21,59.47
2018-12-22,46.38
2018-12-23,43.4
2018-12-24,42.91
2018-12-25,39.48
2018-12-26,42.34
2018-12-27,42.37
2018-12-28,56.68
2018-12-29,51.22
2018-12-30,37.92
2018-12-31,43.46
