,Month,Count,unem_r
0,2006-01-01,16392,5.1
1,2006-02-01,13101,5.3
2,2006-03-01,15572,5.0
3,2006-04-01,15123,4.6
4,2006-05-01,16679,4.5
5,2006-06-01,16607,4.5
6,2006-07-01,17484,4.8
7,2006-08-01,18092,4.4
8,2006-09-01,17266,4.2
9,2006-10-01,17782,3.9
10,2006-11-01,16687,4.1
11,2006-12-01,17097,4.0
12,2007-01-01,16241,5.0
13,2007-02-01,12597,4.9
14,2007-03-01,14669,4.4
15,2007-04-01,14256,4.2
16,2007-05-01,16656,4.2
17,2007-06-01,16583,4.5
18,2007-07-01,17365,4.9
19,2007-08-01,17547,4.5
20,2007-09-01,16834,4.5
21,2007-10-01,17493,4.4
22,2007-11-01,16232,4.4
23,2007-12-01,16684,4.8
24,2008-01-01,16463,5.5
25,2008-02-01,13551,5.4
26,2008-03-01,14839,5.2
27,2008-04-01,14787,4.6
28,2008-05-01,16203,4.9
29,2008-06-01,16301,5.1
30,2008-07-01,17313,5.4
31,2008-08-01,18086,5.5
32,2008-09-01,17364,5.5
33,2008-10-01,17742,5.6
34,2008-11-01,16087,5.9
35,2008-12-01,16496,6.5
36,2009-01-01,14628,7.8
37,2009-02-01,12592,8.3
38,2009-03-01,14266,8.2
39,2009-04-01,13927,7.7
40,2009-05-01,15235,8.0
41,2009-06-01,15193,8.4
42,2009-07-01,16294,8.5
43,2009-08-01,16686,8.5
44,2009-09-01,16331,8.6
45,2009-10-01,16586,8.7
46,2009-11-01,15534,8.5
47,2009-12-01,15315,8.8
48,2010-01-01,15140,9.6
49,2010-02-01,11317,9.5
50,2010-03-01,14172,9.1
51,2010-04-01,14663,8.5
52,2010-05-01,15366,8.2
53,2010-06-01,15604,8.4
54,2010-07-01,16467,8.6
55,2010-08-01,16333,8.4
56,2010-09-01,16184,8.2
57,2010-10-01,17077,8.2
58,2010-11-01,15515,8.4
59,2010-12-01,14387,8.2
60,2011-01-01,13272,9.0
61,2011-02-01,12201,8.8
62,2011-03-01,14170,8.2
63,2011-04-01,14103,7.8
64,2011-05-01,15467,7.8
65,2011-06-01,15728,8.2
66,2011-07-01,16538,8.4
67,2011-08-01,16235,8.2
68,2011-09-01,15719,8.3
69,2011-10-01,16342,8.2
70,2011-11-01,15943,8.2
71,2011-12-01,15889,8.4
72,2012-01-01,14842,9.2
73,2012-02-01,13451,9.4
74,2012-03-01,14503,8.9
75,2012-04-01,14246,8.2
76,2012-05-01,16062,8.4
77,2012-06-01,15944,8.7
78,2012-07-01,16812,8.9
79,2012-08-01,17196,8.5
80,2012-09-01,16053,8.0
81,2012-10-01,16287,8.0
82,2012-11-01,14611,7.8
83,2012-12-01,15783,8.1
84,2013-01-01,14734,9.1
85,2013-02-01,12182,8.7
86,2013-03-01,13789,8.0
87,2013-04-01,14294,7.4
88,2013-05-01,15706,7.5
89,2013-06-01,15618,7.9
90,2013-07-01,17159,7.9
91,2013-08-01,17332,7.7
92,2013-09-01,16810,7.4
93,2013-10-01,17367,7.4
94,2013-11-01,15470,7.0
95,2013-12-01,15786,6.7
96,2014-01-01,14432,7.4
97,2014-02-01,12117,7.6
98,2014-03-01,13847,7.1
99,2014-04-01,13787,6.0
100,2014-05-01,15824,6.2
101,2014-06-01,15788,6.2
102,2014-07-01,16853,6.5
103,2014-08-01,17137,6.3
104,2014-09-01,16082,5.8
105,2014-10-01,16578,5.6
106,2014-11-01,14431,5.7
107,2014-12-01,14386,5.5
108,2015-01-01,13099,6.4
109,2015-02-01,10872,6.2
110,2015-03-01,13122,5.6
111,2015-04-01,14010,5.2
112,2015-05-01,15497,5.3
113,2015-06-01,15139,5.2
114,2015-07-01,16273,5.4
115,2015-08-01,16473,5.0
116,2015-09-01,15583,4.7
117,2015-10-01,15727,4.7
118,2015-11-01,14633,4.7
119,2015-12-01,15355,4.7
120,2016-01-01,13395,5.3
121,2016-02-01,12094,5.3
122,2016-03-01,13577,5.0
123,2016-04-01,13833,4.6
124,2016-05-01,14576,4.3
125,2016-06-01,14713,4.7
126,2016-07-01,14940,5.1
127,2016-08-01,15783,5.0
128,2016-09-01,14479,4.9
129,2016-10-01,15101,4.8
130,2016-11-01,13980,4.5
131,2016-12-01,14554,4.6
132,2017-01-01,13428,5.3
133,2017-02-01,11467,5.3
134,2017-03-01,12330,4.7
135,2017-04-01,12834,4.4
136,2017-05-01,14138,4.4
137,2017-06-01,14134,4.6
138,2017-07-01,15205,4.9
139,2017-08-01,15511,5.0
140,2017-09-01,14616,4.6
141,2017-10-01,15108,4.4
142,2017-11-01,14059,4.4
143,2017-12-01,13978,4.4
144,2018-01-01,13022,5.0
145,2018-02-01,11888,5.1
146,2018-03-01,12713,4.6
147,2018-04-01,12919,4.0
148,2018-05-01,14108,3.7
149,2018-06-01,14289,4.1
150,2018-07-01,15205,4.2
151,2018-08-01,15466,4.0
152,2018-09-01,14024,3.6
153,2018-10-01,14254,3.6
154,2018-11-01,13335,3.5
155,2018-12-01,12455,3.9
