,0
2009-01-01,25.69
2009-01-02,32.88
2009-01-03,37.96
2009-01-04,41.53
2009-01-05,42.75
2009-01-06,33.99
2009-01-07,36.35
2009-01-08,37.18
2009-01-09,32.22
2009-01-10,27.26
2009-01-11,30.99
2009-01-12,32.78
2009-01-13,38.61
2009-01-14,22.61
2009-01-15,20.79
2009-01-16,17.04
2009-01-17,18.09
2009-01-18,33.18
2009-01-19,32.94
2009-01-20,28.8
2009-01-21,26.54
2009-01-22,35.82
2009-01-23,45.49
2009-01-24,37.81
2009-01-25,26.97
2009-01-26,29.44
2009-01-27,29.41
2009-01-28,38.64
2009-01-29,33.74
2009-01-30,34.74
2009-01-31,27.5
2009-02-01,51.0
2009-02-02,52.71
2009-02-03,33.2
2009-02-04,29.25
2009-02-05,22.52
2009-02-06,30.44
2009-02-07,46.31
2009-02-08,56.99
2009-02-09,45.21
2009-02-10,48.38
2009-02-11,62.77
2009-02-12,53.87
2009-02-13,42.81
2009-02-14,40.39
2009-02-15,41.74
2009-02-16,39.64
2009-02-17,40.38
2009-02-18,39.33
2009-02-19,48.59
2009-02-20,32.73
2009-02-21,41.23
2009-02-22,40.24
2009-02-23,33.36
2009-02-24,36.94
2009-02-25,40.96
2009-02-26,47.99
2009-02-27,59.43
2009-02-28,39.14
2009-03-01,35.18
2009-03-02,23.38
2009-03-03,26.5
2009-03-04,33.88
2009-03-05,42.9
2009-03-06,53.07
2009-03-07,67.66
2009-03-08,62.7
2009-03-09,44.2
2009-03-10,44.64
2009-03-11,55.43
2009-03-12,40.82
2009-03-13,38.38
2009-03-14,49.95
2009-03-15,50.98
2009-03-16,48.01
2009-03-17,53.23
2009-03-18,62.21
2009-03-19,48.24
2009-03-20,43.04
2009-03-21,46.75
2009-03-22,53.39
2009-03-23,41.82
2009-03-24,46.91
2009-03-25,50.23
2009-03-26,43.22
2009-03-27,62.62
2009-03-28,57.59
2009-03-29,52.92
2009-03-30,51.29
2009-03-31,58.95
2009-04-01,47.53
2009-04-02,62.68
2009-04-03,56.3
2009-04-04,51.45
2009-04-05,64.68
2009-04-06,49.2
2009-04-07,45.08
2009-04-08,47.8
2009-04-09,60.82
2009-04-10,57.83
2009-04-11,49.26
2009-04-12,47.32
2009-04-13,56.85
2009-04-14,48.32
2009-04-15,54.36
2009-04-16,61.59
2009-04-17,69.12
2009-04-18,77.73
2009-04-19,61.0
2009-04-20,47.69
2009-04-21,58.31
2009-04-22,54.74
2009-04-23,56.35
2009-04-24,69.44
2009-04-25,86.6
2009-04-26,89.96
2009-04-27,82.57
2009-04-28,88.27
2009-04-29,64.61
2009-04-30,60.03
2009-05-01,70.33
