Month,Count,Unem_R,Mean_Temp,Over70,Days
2006-01-01,16392,5.1,45.033225806451604,0.0,31
2006-02-01,13101,5.3,40.42321428571428,0.0,28
2006-03-01,15572,5.0,49.03451612903226,1.0,31
2006-04-01,15123,4.6,62.382333333333335,7.0,30
2006-05-01,16679,4.5,69.66580645161291,12.0,31
2006-06-01,16607,4.5,76.86200000000001,22.0,30
2006-07-01,17484,4.8,84.83129032258063,31.0,31
2006-08-01,18092,4.4,81.50096774193547,28.0,31
2006-09-01,17266,4.2,71.958,17.0,30
2006-10-01,17782,3.9,62.40548387096772,5.0,31
2006-11-01,16687,4.1,56.161333333333324,0.0,30
2006-12-01,17097,4.0,48.55806451612902,0.0,31
2007-01-01,16241,5.0,41.42516129032258,1.0,31
2007-02-01,12597,4.9,32.91214285714286,0.0,28
2007-03-01,14669,4.4,48.548709677419346,1.0,31
2007-04-01,14256,4.2,55.74033333333333,5.0,30
2007-05-01,16656,4.2,73.42,19.0,31
2007-06-01,16583,4.5,78.84966666666668,26.0,30
2007-07-01,17365,4.9,81.55225806451612,30.0,31
2007-08-01,17547,4.5,81.06709677419356,27.0,31
2007-09-01,16834,4.5,76.87066666666666,25.0,30
2007-10-01,17493,4.4,69.5174193548387,14.0,31
2007-11-01,16232,4.4,49.69633333333334,0.0,30
2007-12-01,16684,4.8,39.767741935483876,0.0,31
2008-01-01,16463,5.5,40.63677419354839,0.0,31
2008-02-01,13551,5.4,40.445517241379314,0.0,29
2008-03-01,14839,5.2,48.06774193548387,0.0,31
2008-04-01,14787,4.6,61.37133333333334,7.0,30
2008-05-01,16203,4.9,67.0458064516129,15.0,31
2008-06-01,16301,5.1,81.72800000000001,29.0,30
2008-07-01,17313,5.4,85.06225806451614,31.0,31
2008-08-01,18086,5.5,80.65225806451612,31.0,31
2008-09-01,17364,5.5,75.02600000000001,21.0,30
2008-10-01,17742,5.6,62.21225806451613,8.0,31
2008-11-01,16087,5.9,49.71899999999999,0.0,30
2008-12-01,16496,6.5,41.096451612903216,0.0,31
2009-01-01,14628,7.8,31.927096774193547,0.0,31
2009-02-01,12592,8.3,42.76964285714287,0.0,28
2009-03-01,14266,8.2,48.06741935483871,0.0,31
2009-04-01,13927,7.7,60.91633333333333,5.0,30
2009-05-01,15235,8.0,69.34709677419355,14.0,31
2009-06-01,15193,8.4,73.616,20.0,30
2009-07-01,16294,8.5,80.02161290322583,30.0,31
2009-08-01,16686,8.5,82.07709677419355,30.0,31
2009-09-01,16331,8.6,72.25333333333334,19.0,30
2009-10-01,16586,8.7,60.65612903225806,3.0,31
2009-11-01,15534,8.5,55.66466666666666,0.0,30
2009-12-01,15315,8.8,39.70354838709678,0.0,31
2010-01-01,15140,9.6,36.85516129032258,0.0,31
2010-02-01,11317,9.5,37.16535714285714,0.0,28
2010-03-01,14172,9.1,53.54612903225806,2.0,31
2010-04-01,14663,8.5,65.783,9.0,30
2010-05-01,15366,8.2,73.58032258064516,24.0,31
2010-06-01,15604,8.4,81.998,29.0,30
2010-07-01,16467,8.6,87.70774193548388,31.0,31
2010-08-01,16333,8.4,82.76322580645162,28.0,31
2010-09-01,16184,8.2,76.92466666666668,27.0,30
2010-10-01,17077,8.2,64.00193548387098,8.0,31
2010-11-01,15515,8.4,52.45699999999999,0.0,30
2010-12-01,14387,8.2,36.68709677419354,0.0,31
2011-01-01,13272,9.0,33.46741935483871,0.0,31
2011-02-01,12201,8.8,41.50392857142857,0.0,28
2011-03-01,14170,8.2,47.71709677419355,1.0,31
2011-04-01,14103,7.8,60.39766666666665,6.0,30
2011-05-01,15467,7.8,70.89290322580648,15.0,31
2011-06-01,15728,8.2,78.85000000000001,26.0,30
2011-07-01,16538,8.4,87.27032258064516,31.0,31
2011-08-01,16235,8.2,81.25516129032256,30.0,31
2011-09-01,15719,8.3,75.08066666666667,23.0,30
2011-10-01,16342,8.2,63.44096774193547,5.0,31
2011-11-01,15943,8.2,57.73033333333333,0.0,30
2011-12-01,15889,8.4,47.858709677419355,0.0,31
2012-01-01,14842,9.2,41.5741935483871,0.0,31
2012-02-01,13451,9.4,45.61965517241379,0.0,29
