CMPLNT_FR_DT,Count
2006-01-01,16392
2006-02-01,13101
2006-03-01,15572
2006-04-01,15123
2006-05-01,16679
2006-06-01,16607
2006-07-01,17484
2006-08-01,18092
2006-09-01,17266
2006-10-01,17782
2006-11-01,16687
2006-12-01,17097
2007-01-01,16241
2007-02-01,12597
2007-03-01,14669
2007-04-01,14256
2007-05-01,16656
2007-06-01,16583
2007-07-01,17365
2007-08-01,17547
2007-09-01,16834
2007-10-01,17493
2007-11-01,16232
2007-12-01,16684
2008-01-01,16463
2008-02-01,13551
2008-03-01,14839
2008-04-01,14787
2008-05-01,16203
2008-06-01,16301
2008-07-01,17313
2008-08-01,18086
2008-09-01,17364
2008-10-01,17742
2008-11-01,16087
2008-12-01,16496
2009-01-01,14628
2009-02-01,12592
2009-03-01,14266
2009-04-01,13927
2009-05-01,15235
2009-06-01,15193
2009-07-01,16294
2009-08-01,16686
2009-09-01,16331
2009-10-01,16586
2009-11-01,15534
2009-12-01,15315
2010-01-01,15140
2010-02-01,11317
2010-03-01,14172
2010-04-01,14663
2010-05-01,15366
2010-06-01,15604
2010-07-01,16467
2010-08-01,16333
2010-09-01,16184
2010-10-01,17077
2010-11-01,15515
2010-12-01,14387
2011-01-01,13272
2011-02-01,12201
2011-03-01,14170
2011-04-01,14103
2011-05-01,15467
2011-06-01,15728
2011-07-01,16538
2011-08-01,16235
2011-09-01,15719
2011-10-01,16342
2011-11-01,15943
2011-12-01,15889
2012-01-01,14842
2012-02-01,13451
2012-03-01,14503
2012-04-01,14246
2012-05-01,16062
2012-06-01,15944
2012-07-01,16812
2012-08-01,17196
2012-09-01,16053
2012-10-01,16287
2012-11-01,14611
2012-12-01,15783
2013-01-01,14734
2013-02-01,12182
2013-03-01,13789
2013-04-01,14294
2013-05-01,15706
2013-06-01,15618
2013-07-01,17159
2013-08-01,17332
2013-09-01,16810
2013-10-01,17367
2013-11-01,15470
2013-12-01,15786
2014-01-01,14432
2014-02-01,12117
2014-03-01,13847
2014-04-01,13787
2014-05-01,15824
2014-06-01,15788
2014-07-01,16853
2014-08-01,17137
2014-09-01,16082
2014-10-01,16578
2014-11-01,14431
2014-12-01,14386
2015-01-01,13099
2015-02-01,10872
2015-03-01,13122
2015-04-01,14010
2015-05-01,15497
2015-06-01,15139
2015-07-01,16273
2015-08-01,16473
2015-09-01,15583
2015-10-01,15727
2015-11-01,14633
2015-12-01,15355
2016-01-01,13395
2016-02-01,12094
2016-03-01,13577
2016-04-01,13833
2016-05-01,14576
2016-06-01,14713
2016-07-01,14940
2016-08-01,15783
2016-09-01,14479
2016-10-01,15101
2016-11-01,13980
2016-12-01,14554
2017-01-01,13428
2017-02-01,11467
2017-03-01,12330
2017-04-01,12834
2017-05-01,14138
2017-06-01,14134
2017-07-01,15205
2017-08-01,15511
2017-09-01,14616
2017-10-01,15108
2017-11-01,14059
2017-12-01,13978
2018-01-01,13022
2018-02-01,11888
2018-03-01,12713
2018-04-01,12919
2018-05-01,14108
2018-06-01,14289
2018-07-01,15205
2018-08-01,15466
2018-09-01,14024
2018-10-01,14254
2018-11-01,13335
2018-12-01,12455
